hash	title	auto_verified	verified	checked	file_loc	citation	len(ref_list)
('Relaxation Applied to Matching Quantitative Relational Structures', 1978)	Relaxation Applied to Matching Quantitative Relational Structures	1	1	1	./bibliographies\database26.txt	Les Kitchen, Relaxation applied to matching quantitative relational structures	2
('A new algorithm for subgraph optimal isomorphism', 1998)	A new algorithm for subgraph optimal isomorphism	1	1	1	./bibliographies\database27.txt	Yasser El-Sonbaty, M. A. Ismail, A new algorithm for subgraph optimal isomorphism	47
('Fast parallel algorithms for graph similarity and matching', 2014)	Fast parallel algorithms for graph similarity and matching	1	1	1	./bibliographies\database28.txt	Giorgos Kollias, Madan Sathe, Olaf Schenk, Ananth Grama, Fast parallel algorithms for graph similarity and matching	48
('Discovering and modeling meta-structures in human behavior from city-scale cellular data', 2017)	Discovering and modeling meta-structures in human behavior from city-scale cellular data	1	1	1	./bibliographies\database29.txt	Xiaming Chen, Haiyang Wang, Siwei Qiang, Yongkun Wang, Yaohui Jin, Discovering and modeling meta-structures in human behavior from city-scale cellular data	31
('Graph similarity scoring and matching', 2008)	Graph similarity scoring and matching	1	1	1	./bibliographies\database3.txt	Laura A. Zager, George C. Verghese, Graph similarity scoring and matching	19
('Taxonomies of networks from community structure', 2012)	Taxonomies of networks from community structure	1	1	1	./bibliographies\database30.txt	Jukka-Pekka Onnela, Daniel J. Fenn, Stephen Reid, Mason A. Porter, Peter J. Mucha, Mark D. Fricker, Nick S. Jones, Taxonomies of networks from community structure	56
('Node Fingerprinting: An Efficient Heuristic for Aligning Biological Networks', 2014)	Node Fingerprinting: An Efficient Heuristic for Aligning Biological Networks	1	1	1	./bibliographies\database31.txt	Alex Radu, Michael Charleston, Node fingerprinting: an efficient heuristic for aligning biological networks	23
('A POCS-based graph matching algorithm', 2004)	A POCS-based graph matching algorithm	1	1	1	./bibliographies\database33.txt	B.J. van Wyk, M.A. van Wyk, A POCS-based graph matching algorithm	30
('Fast computation of Bipartite graph matching', 2014)	Fast computation of Bipartite graph matching	1	1	1	./bibliographies\database34.txt	Francesc Serratosa, Fast computation of Bipartite graph matching	45
('A new graph-based method for pairwise global network alignment', 2009)	A new graph-based method for pairwise global network alignment	1	1	1	./bibliographies\database35.txt	Gunnar W Klau, A new graph-based method for pairwise global network alignment	23
