hash	verified	citation	URL	DOI	year	title	author
('Addendum to: Histone variants: the tricksters of the chromatin world [Curr. Opin. Genet. Dev. 2014, 25:8–14]', 2014.0)	0.0	Tautz, D. (2000) Curr. Opin. Genet. Dev. 1, 575â€“579.	http://dx.doi.org/10.1016/j.gde.2014.03.001	10.1016/j.gde.2014.03.001	2014.0	Addendum to: Histone variants: the tricksters of the chromatin world [Curr. Opin. Genet. Dev. 2014, 25:8–14]	Catherine Volle and Yamini Dalal
('Meselson-Radding Model Of Recombination (1975 Proc Natl Acad Sci USA 72:358)', 'None')	0.0	Karlin, S. & Altschul, S. F. (1990) Proc. Natl. Acad. Sci. USA 87, 2264â€“2268.	http://dx.doi.org/10.1007/springerreference_100598	10.1007/springerreference_100598	None	Meselson-Radding Model Of Recombination (1975 Proc Natl Acad Sci USA 72:358)	None
('PhenomiR: MicroRNAs in Human Diseases and Biological Processes', 2011.0)	0.0	A. Ruepp, A. Kowarsch and F. Theis, Next-Generation MicroRNA Expression Profiling Technology: Methods and Protocols, 2012, pp. 249â€“260	http://dx.doi.org/10.1007/978-1-61779-427-8_17	10.1007/978-1-61779-427-8_17	2011.0	PhenomiR: MicroRNAs in Human Diseases and Biological Processes	Andreas Ruepp and Andreas Kowarsch and Fabian Theis
('An Improved Cat Swarm Optimization Algorithm Based on Opposition-Based Learning and Cauchy Operator for Clustering', 2015.0)	0.0	Ng, A.Y., Jordan, M.I. & Weiss, Y. On spectral clustering: analysis and an algorithm. Adv. Neural Inf. Process. Syst. 2, 849â€“856 (2002).	http://dx.doi.org/10.3745/jips.02.0022	10.3745/jips.02.0022	2015.0	An Improved Cat Swarm Optimization Algorithm Based on Opposition-Based Learning and Cauchy Operator for Clustering	None
('Class prediction and discovery using gene expression data', 2000.0)	0.0	Monti, S., Tamayo, P., Mesirov, J. & Golub, T. Consensus clustering: a resampling-based method for class discovery and visualization of gene expression microarray data. Mach. Learn. 52, 91â€“118 (2003).	http://dx.doi.org/10.1145/332306.332564	10.1145/332306.332564	2000.0	Class prediction and discovery using gene expression data	Donna K. Slonim and Pablo Tamayo and Jill P. Mesirov and Todd R. Golub and Eric S. Lander
('Cancer Genome Atlas Network. Comprehensive molecular portraits of human breast tumours. Nature 490, 61â€“70 (2012).', 'CITATION ONLY')	0.0	Cancer Genome Atlas Network. Comprehensive molecular portraits of human breast tumours. Nature 490, 61â€“70 (2012).	http://dx.doi.org/10.1038/nature11252	10.1038/nature11252	2012.0	Comprehensive molecular characterization of human colon and rectal cancer	None
('Ein Verfahren zur Feststellung der Isomorphie von endlichen, zusammenhängenden Graphen', 1971.0)	0.0	W. Knodel. Ein Verfahren zur Feststellung der Isomorphie von endlichen, zusammenhangenden Graphen. Computing, 8, 1971.	http://dx.doi.org/10.1007/bf02234114	10.1007/bf02234114	1971.0	Ein Verfahren zur Feststellung der Isomorphie von endlichen, zusammenhängenden Graphen	Walter Knödel
('Einladung zum Fachgruppentreffen und zur Wahlversammlung der GI-Fachgruppe Software-Ergonomie des Fachbereichs Mensch und Computer', 2008.0)	0.0	K. Schadler and F. Wysotzki. Klassifizierungslernen mit Hilfe spezieller Hopfield-Netze. In Werner Dilger, Michael Schlosser, Jens Zeidler, and Andreas Ittner, editors, Beitrage zum 9.Fachgruppentreffen "Maschinelles Lernen" der GI-Fachgruppe 1.1.3., number CSR-96-06 in Chemnitzer Informatik-Berichte, pages 96â€“100. TU Chemnitz-Zwickau, August 1996.	http://dx.doi.org/10.1524/icom.2008.0025	10.1524/icom.2008.0025	2008.0	Einladung zum Fachgruppentreffen und zur Wahlversammlung der GI-Fachgruppe Software-Ergonomie des Fachbereichs Mensch und Computer	None
('MODEL-DRIVEN DESIGN AND VALIDATION OF SERVICE ORIENTED ARCHITECTURE BASED ON DEVS SIMULATION FRAMEWORK', 2014.0)	0.0	F. Wysotzki. Artificial Intelligence and Artificial Neural Nets. In Proc. 1st Workshop on AI, Shanghai, September 1990. TU Berlin/Jiao Tong University Shanghai.	http://dx.doi.org/10.29268/stsc.2014.2.3.2	10.29268/stsc.2014.2.3.2	2014.0	MODEL-DRIVEN DESIGN AND VALIDATION OF SERVICE ORIENTED ARCHITECTURE BASED ON DEVS SIMULATION FRAMEWORK	None
('Ellis Horwood series in inorganic chemistry. Boranes and metalloboranes. Structure, bonding and reactivity', 1990.0)	0.0	D. Bawden. Chemical Information Systems. Beyond the Structure Diagram. Ellis Horwood, 1990.	http://dx.doi.org/10.1016/0160-9327(90)90019-n	10.1016/0160-9327(90)90019-n	1990.0	Ellis Horwood series in inorganic chemistry. Boranes and metalloboranes. Structure, bonding and reactivity	John D Kennedy
('The effects of storage on the net calorific value of wood pellets.', 2015.0)	0.0	D. G. Lowe. Similarity metric learning for a variable-kernel classifier. Technical Report UBC-TR-93-43, Computer Science Dept., University of British Columbia, Vancouver, B.C., V6T 1Z4, Canada, November 1993.	http://dx.doi.org/10.7451/cbe.2015.57.8.5	10.7451/cbe.2015.57.8.5	2015.0	The effects of storage on the net calorific value of wood pellets.	None
('Global combinatorial optimization by neural networks', 1988.0)	0.0	J. Wang. Progress in Neural Networks, volume 3, chapter 11: Deterministic Neural Networks for Combinatorial Optimization, pages 319â€“340. Ablex Publishing Corporation, Norwood, New Jersey, 1995.	http://dx.doi.org/10.1016/0893-6080(88)90158-x	10.1016/0893-6080(88)90158-x	1988.0	Global combinatorial optimization by neural networks	None
('The Morgan Kaufmann Series in Machine Learning', 1993.0)	0.0	W. Emde and D. Wettschereck. Relational instance-based learning. In L. Saitta, editor, Proc. of the 13th International Conference on Machine Learning, pages 122â€“130. Morgan Kaufmann, 1996.	http://dx.doi.org/10.1016/b978-1-4832-0774-2.50001-9	10.1016/b978-1-4832-0774-2.50001-9	1993.0	The Morgan Kaufmann Series in Machine Learning	None
('A New Information Measure Based on Example-Dependent Misclassification Costs and Its Application in Decision Tree Learning', 2009.0)	0.0	P. Geibel and F. Wysotzki. Relational learning with decision trees. In W. Wahlster, editor, Proceedings of the 12th European Conference on Artificial Intelligence. John Wiley and Sons, Ltd., 1996. to appear.	http://dx.doi.org/10.1155/2009/134807	10.1155/2009/134807	2009.0	A New Information Measure Based on Example-Dependent Misclassification Costs and Its Application in Decision Tree Learning	Fritz Wysotzki and Peter Geibel
('JJ Hopfield, DW Tank Neural computation of decisions in optimization problems Biol. Cybern., Vol 52 (1985), pp. 141-152', 'CITATION ONLY')	0.0	JJ Hopfield, DW Tank Neural computation of decisions in optimization problems Biol. Cybern., Vol 52 (1985), pp. 141-152	http://dx.doi.org/10.1007/bf00202388	10.1007/bf00202388	1991.0	Suboptimum solutions obtained by the Hopfield-Tank neural network algorithm	D. Kunz
('Family House Sankt Augustin', 2017.0)	0.0	K. Borner, K.P. Jantke, S. Schonherr, and E. Tammer. Lernszenarien im fall-basierten SchlieBen. FABEL Report 14, GMD, Sankt Augustin, 1993.	http://dx.doi.org/10.1515/9783035610062-044	10.1515/9783035610062-044	2017.0	Family House Sankt Augustin	None
('High-Dimensional Micro-array Data Classification Using Minimum Description Length and Domain Expert Knowledge', 2006.0)	0.0	D.J. Cook and L.B. Holder. Substructure Dcovery Using Minimum Description Length and Background Knowledge. Journal of Artificial Intelligence Research, 1:231â€“255, 1994.	http://dx.doi.org/10.1007/11779568_85	10.1007/11779568_85	2006.0	High-Dimensional Micro-array Data Classification Using Minimum Description Length and Domain Expert Knowledge	Andrea Bosin and Nicoletta Dessì and Barbara Pes
('Data mining: machine learning, statistics, and databases', 'None')	0.0	H. Mannila. Aspects of data mining. In Proceedings of the Workshop "Statistics, Machine Learning and Discovery in Databases" at the ECML-95, 1995.	http://dx.doi.org/10.1109/ssdm.1996.505910	10.1109/ssdm.1996.505910	None	Data mining: machine learning, statistics, and databases	H. Mannila
